rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",1,2,2,"15380574"
2,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",2,-1,1,"15207782"
3,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,3,12,"9988113"
4,"spotify:track:5zyZM1EiSqrniyqtprwxpv","Drake","Falling Back","OVO",4,-1,1,"9778190"
5,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",1,1,4,"9758331"
6,"spotify:track:4rmVZajAF7PkrCagGPHbqa","Drake","Sticky","OVO",6,-1,1,"9111685"
7,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",4,4,7,"7674419"
8,"spotify:track:7a5fliY9SsZENrQWQBZron","Drake","Texts Go Green","OVO",8,-1,1,"7468506"
9,"spotify:track:0oiv4E896TUTTeQU0cmIui","Drake","Massive","OVO",9,-1,1,"7270649"
10,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",4,7,7,"6769783"
11,"spotify:track:0nAZGkBGKQCXyaoSJfRhC1","Drake","A Keeper","OVO",11,-1,1,"6757123"
12,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",3,5,3,"6403726"
13,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",1,6,11,"6237646"
14,"spotify:track:7IaeavdRzXYQWfu2Wt5GlU","Drake","Currents","OVO",14,-1,1,"6196854"
15,"spotify:track:7sT7kZEYd1MrmzLLIRVZas","Drake","Calling My Name","OVO",15,-1,1,"6188571"
16,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",3,11,8,"6185516"
17,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",6,9,10,"5847040"
18,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",2,8,5,"5842613"
19,"spotify:track:23Z3bbYcl1PdcPJemLa4zc","Drake","Flight's Booked","OVO",19,-1,1,"5318064"
20,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,13,82,"5205906"
21,"spotify:track:5lVmzrKaqPpPYtF7udoiNq","Drake","Intro","OVO",21,-1,1,"5198957"
22,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",11,12,7,"4977505"
23,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",20,20,7,"4842501"
24,"spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ","Beyoncé","BREAK MY SOUL","Parkwood Entertainment/Columbia",24,-1,1,"4801929"
25,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",17,17,7,"4584800"
26,"spotify:track:1MJHXJ8bdoynpEtCLCbkWf","Drake","Overdrive","OVO",26,-1,1,"4509884"
27,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",2,15,7,"4450306"
28,"spotify:track:3S68RFe1lsdCdTMPIMJM3X","Pharrell Williams, 21 Savage, Tyler, The Creator","Cash In Cash Out","Columbia",10,10,2,"4443289"
29,"spotify:track:28n8z9IQKyjMPxmvYMBqZa","Luke Combs","The Kind of Love We Make","River House Artists/Columbia Nashville",29,-1,1,"4232081"
30,"spotify:track:4tYFy8ALRjIZvnvSLw5lxN","Bad Bunny, Rauw Alejandro","Party","Rimas Entertainment LLC",8,16,7,"4210114"
31,"spotify:track:32vE1nuG8T9c8bhmZdRY6d","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",4,14,6,"4068161"
32,"spotify:track:1dm6z1fWB0cErMszU25dy2","Bad Bunny","Después de la Playa","Rimas Entertainment LLC",5,18,7,"3964262"
33,"spotify:track:2vy9Ry1TNjCD85TiCbTz0r","Drake","Liability","OVO",33,-1,1,"3927778"
34,"spotify:track:0PKpNkxX3FkcfgxCQUXXds","Drake","Down Hill","OVO",34,-1,1,"3868947"
35,"spotify:track:1qMMYpVatbRITKCfq1gasi","Future","PUFFIN ON ZOOTIEZ","Epic/Freebandz",4,28,8,"3785355"
36,"spotify:track:5KW4KhJIAbVVSH6pJ4GPkb","Drake","Tie That Binds","OVO",36,-1,1,"3723700"
37,"spotify:track:5LYMamLv12UPbemOaTPyeV","Harry Styles","Music For a Sushi Restaurant","Columbia",3,21,5,"3720938"
38,"spotify:track:3cBsEDNhFI9E82vPj3kvi3","Morgan Wallen","Wasted On You","Big Loud / Republic",3,27,74,"3624393"
39,"spotify:track:5uU1uuyaUIBOiiUSQG7Wl3","Morgan Wallen","You Proof","Big Loud / Mercury Records / Republic Records",15,26,6,"3554380"
40,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","Universal Music Latino",22,22,9,"3527685"
41,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",10,25,228,"3520549"
42,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",7,33,52,"3507931"
