Name,ViewCount,CurrentPosition,WeekStartDate
Sam Smith,10795771,55,20171005
The Weeknd,10617623,56,20171005
BTS,10460635,57,20171005
Drake,10415423,58,20171005
TWENTY ØNE PILØTS,10264275,59,20171005
Chalino Sánchez,10256019,60,20171005
Grupo Bronco,10206687,61,20171005
The Chainsmokers,10019461,62,20171005
Melanie Martinez,9812019,63,20171005
blackbear,9756516,64,20171005
Calibre 50,9575363,65,20171005
Tierra Cali,9269470,66,20171005
Jacquees,9249206,67,20171005
Nicki Minaj,9238269,68,20171005
Young Thug,9223912,69,20171005
Marco Antonio Solís,9133304,70,20171005
Willy William,8996624,71,20171005
French Montana,8498783,72,20171005
Travis Scott,8456404,73,20171005
Los Plebes del Rancho de Ariel Camacho,8349449,74,20171005
Skillet,8315040,75,20171005
$uicideboy$,8313254,76,20171005
Elvis Presley,8301518,77,20171005
R. Kelly,8291210,78,20171005
Justin Bieber,8253129,79,20171005
Los Tucanes De Tijuana,8201405,80,20171005
Tupac,8160395,81,20171005
Maroon 5,7937691,82,20171005
Metallica,7889959,83,20171005
Bad Bunny,7864287,84,20171005
Juan Gabriel,7701639,85,20171005
2 Chainz,7594165,86,20171005
Jenni Rivera,7550283,87,20171005
Enrique Iglesias,7521247,88,20171005
Coldplay,7441571,89,20171005
Ariana Grande,7398310,90,20171005
Trippie Redd,7259881,91,20171005
Ayo & Teo,7242605,92,20171005
Rae Sremmurd,7161264,93,20171005
Pink Floyd,7084061,94,20171005
Tee Grizzley,7051111,95,20171005
Kanye West,7030211,96,20171005
Wisin Y Yandel,7006385,97,20171005
Halsey,6893642,98,20171005
Usher,6836158,99,20171005
Bryson Tiller,6830081,100,20171005
Post Malone,29035890,1,20171012
Los Temerarios,28174135,2,20171012
Kodak Black,26948587,3,20171012
Cardi B,25702011,4,20171012
YoungBoy Never Broke Again,25039938,5,20171012
Eminem,23948354,6,20171012
Taylor Swift,23042695,7,20171012
Kevin Gates,21617463,8,20171012
Chris Brown,21309288,9,20171012
Ed Sheeran,20388913,10,20171012
XXXTentacion,20120493,11,20171012
Lil Pump,20031506,12,20171012
Imagine Dragons,19447597,13,20171012
Ozuna,18521134,14,20171012
Gucci Mane,18381521,15,20171012
Vicente Fernández,18106375,16,20171012
21 Savage,18051529,17,20171012
Banda Sinaloense MS de Sergio Lizárraga,17995077,18,20171012
Yo Gotti,17170827,19,20171012
Los Caminantes,16937338,20,20171012
Lil Uzi Vert,16839354,21,20171012
Bruno Mars,16808420,22,20171012
Migos,16629295,23,20171012
Beyoncé,16098637,24,20171012
Michael Jackson,15781972,25,20171012
A Boogie wit da Hoodie,15717950,26,20171012
Logic,15232148,27,20171012
Los Bukis,14521320,28,20171012
Daddy Yankee,14509001,29,20171012
Los Tigres del Norte,14332149,30,20171012
J Balvin,14273949,31,20171012
Joan Sebastian,14167679,32,20171012
Future,13859345,33,20171012
SZA,13705467,34,20171012
Wiz Khalifa,13655830,35,20171012
DJ Khaled,13400653,36,20171012
Rihanna,13365967,37,20171012
Chief Keef,13079706,38,20171012
Katy Perry,13070292,39,20171012
Sam Smith,12887017,40,20171012
Luis Fonsi,12877486,41,20171012
Lil Wayne,12734974,42,20171012
Meek Mill,12340380,43,20171012
Tom Petty,11747620,44,20171012
Khalid,11647549,45,20171012
Mike WiLL Made-It,11637603,46,20171012
Laberinto,11524369,47,20171012
Kendrick Lamar,11509723,48,20171012
Romeo Santos,11498179,49,20171012
Young Thug,11175000,50,20171012
Shakira,11115337,51,20171012
Russ,11062645,52,20171012
Chalino Sánchez,10818797,53,20171012
The Weeknd,10813201,54,20171012
Tay-K,10720574,55,20171012
Linkin Park,10595653,56,20171012
TWENTY ØNE PILØTS,10594930,57,20171012
Grupo Bronco,10540402,58,20171012
The Chainsmokers,10415125,59,20171012
Calibre 50,10355013,60,20171012
blackbear,10062823,61,20171012
Tierra Cali,9883724,62,20171012
Nicki Minaj,9611654,63,20171012
Jacquees,9471380,64,20171012
Future,9336650,65,20171012
NF,9245047,66,20171012
BTS,9068212,67,20171012
YFN Lucci,9057815,68,20171012
Kane Brown,8916847,69,20171012
Trippie Redd,8883866,70,20171012
Marco Antonio Solís,8691894,71,20171012
Los Plebes del Rancho de Ariel Camacho,8621388,72,20171012
Maroon 5,8616990,73,20171012
Melanie Martinez,8592977,74,20171012
Justin Bieber,8564165,75,20171012
Willy William,8503184,76,20171012
Skillet,8445923,77,20171012
French Montana,8302926,78,20171012
Tupac,8240345,79,20171012
Elvis Presley,8205301,80,20171012
R. Kelly,8198695,81,20171012
$uicideboy$,8157788,82,20171012
Ayo & Teo,8031443,83,20171012
Travis Scott,7976805,84,20171012
Los Tucanes De Tijuana,7953891,85,20171012
Tee Grizzley,7912812,86,20171012
Metallica,7884311,87,20171012
Los Inquietos del Norte,7879530,88,20171012
Coldplay,7855801,89,20171012
Jenni Rivera,7800456,90,20171012
Charlie Puth,7790005,91,20171012
Ariana Grande,7766668,92,20171012
Enrique Iglesias,7678293,93,20171012
Bhad Bhabie,7675628,94,20171012
Halsey,7328303,95,20171012
Juan Gabriel,7296349,96,20171012
Bad Bunny,7261687,97,20171012
Rae Sremmurd,7245412,98,20171012
2 Chainz,7208340,99,20171012
Bryson Tiller,7118440,100,20171012
Post Malone,30784735,1,20171019
Los Temerarios,30487429,2,20171019
Gucci Mane,25783130,3,20171019
Chris Brown,24014904,4,20171019
Cardi B,23693983,5,20171019
Kodak Black,23339878,6,20171019
Eminem,23325145,7,20171019
YoungBoy Never Broke Again,22430589,8,20171019
Los Caminantes,21514601,9,20171019
Ed Sheeran,21083263,10,20171019
21 Savage,21078195,11,20171019
Kevin Gates,20916521,12,20171019
Imagine Dragons,20827372,13,20171019
Taylor Swift,20820198,14,20171019
Ozuna,19821787,15,20171019
Lil Uzi Vert,19170683,16,20171019
Lil Pump,19117887,17,20171019
XXXTentacion,18867455,18,20171019
Banda Sinaloense MS de Sergio Lizárraga,18408097,19,20171019
Vicente Fernández,18206154,20,20171019
Michael Jackson,17637888,21,20171019
Bruno Mars,16824310,22,20171019
Migos,16723418,23,20171019
A Boogie wit da Hoodie,16454975,24,20171019
Beyoncé,15954039,25,20171019
Los Bukis,15864099,26,20171019
Yo Gotti,15817868,27,20171019
Los Tigres del Norte,15202555,28,20171019
Joan Sebastian,15199529,29,20171019
J Balvin,14572382,30,20171019
Katy Perry,14270264,31,20171019
Future,14051817,32,20171019
Logic,14050633,33,20171019
Rihanna,13845759,34,20171019
Wiz Khalifa,13650160,35,20171019
SZA,13242374,36,20171019
Lil Wayne,12516554,37,20171019
DJ Khaled,12507460,38,20171019
Khalid,12420349,39,20171019
Luis Fonsi,12280427,40,20171019
Laberinto,12166401,41,20171019
Bad Bunny,12136324,42,20171019
BTS,11727339,43,20171019
Romeo Santos,11706787,44,20171019
Daddy Yankee,11604016,45,20171019
Sam Smith,11477509,46,20171019
Meek Mill,11376551,47,20171019
Shakira,11195044,48,20171019
The Weeknd,10914916,49,20171019
Chief Keef,10896988,50,20171019
Tierra Cali,10885832,51,20171019
Drake,10827187,52,20171019
Young Thug,10795589,53,20171019
Kendrick Lamar,10731801,54,20171019
Chalino Sánchez,10719261,55,20171019
Linkin Park,10616040,56,20171019
Russ,10531695,57,20171019
TWENTY ØNE PILØTS,10415058,58,20171019
Mike WiLL Made-It,10395773,59,20171019
Grupo Bronco,10192591,60,20171019
blackbear,10133736,61,20171019
Nicki Minaj,9976883,62,20171019
The Chainsmokers,9847561,63,20171019
Tay-K,9622747,64,20171019
Tupac,9379182,65,20171019
Calibre 50,9058312,66,20171019
Elvis Presley,9026881,67,20171019
Willy William,9026002,68,20171019
Kane Brown,8997713,69,20171019
Marco Antonio Solís,8968652,70,20171019
Jacquees,8870895,71,20171019
Los Plebes del Rancho de Ariel Camacho,8826019,72,20171019
Future,8603821,73,20171019
Maroon 5,8574943,74,20171019
YFN Lucci,8568445,75,20171019
Los Inquietos del Norte,8560758,76,20171019
Charlie Puth,8422587,77,20171019
